title,FileName,singer,lyrics,composer,
Adara Mal (Film - Duleeka),Adara-Mal-Pawane-Latha-Walpola-(Film-Duleeka).flac,,Dharmasiri Gamage,Master Premasiri Khemadasa,
Ammawarune (Film - yasa isusru),,Nanda Malini,Dharmasiri Gamage,Master Premasiri Khemadasa,
Anduru Kutiya Thula,Anduru_Kutiya_Thula_T_M_Jayarathna.flac,T M Jayarathne,P Alawattage,Premasiri Khemadasa,
Ane Punchi Kalidasa,Ane_Punchi_Kalidasa_Malani_Bulathsinhala.flac,Malini Bulathsinghala,Lucien Bulathsinhala,Premasiri Khemadasa,
Angaaraa ganga ,,,,Master Premasiri Khemadasa,
Eran Ran Kanda,E_Ran_Kanda_Pem_Handa_M_S_Fernando.flac,M. S. Fernando,George Lesley Ranasinghe,Premasiri Khemadasa,
Giniyam Dethol,,Morris Wijesinghe,Lucien Bulathsinhala,Master Premasiri Khemadasa,
Hangum Wisira (Film - lokuma hinawa ),,Nanda Malini,Ogastas Vinayagarathnam,Master Premasiri Khemadasa,
Hanthane Kandu Muduna ,,W.D.Amaradeva,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Kauruwat Na,Kawuruwath_Na_Amarasiri_Peiris.flac,Amarasiri Peiris,H Gunathunga,Premasiri Khemadasa,
Landune ,Landune_Obe_Dasa_Dakagaththemi_Amarasiri_Peiris.flac,Amarasiri Peiris,Ranbanda Seneviratne,Premasiri Khemadasa,
Ma Prarthana Ashawo,Ma-Prarthana-Ashawo-Hr-Jothipala-Anjaleen-Gunathilaka.flac,H. R. Jothipala / Anjaleen Goonatilaka,Premakeerthi De Alwis,Premasiri Khemadasa,
Jeewithe Amadhara,Jeewithe_Amadara_T_M_Jayarathna.flac,T.M.Jayarathna,Gamini Wijethunga,Premasiri Khemadasa,
Seetha Re Yame (Film - duleeka ),,Sanath Nandasiri,Sunil Ariyaratne,Master Premasiri Khemadasa,
Senasum Susuman,Sanasum_Susuman_Pavila_T_M_Jayarathna.flac,T M Jayarathne,Ranjith Weerasinghe,Premasiri Khemadasa,
