ISRC,Payee 01,Payee 01 Share,Payee 02,Payee 02 Share,Payee 03,Payee 03 Share
LKA0U2212027,Ajantha Ranasinghe,100,,,,
LKA0W2101455,Ajantha Ranasinghe,100,,,,
LKA0W2200367,Ajantha Ranasinghe,100,,,,
LKA0W2200368,Ajantha Ranasinghe,100,,,,
ATR981202325,Rohana Weerasinghe,100,,,,
LKA0W2200369,Ajantha Ranasinghe,100,,,,
LKA0W2211974,Ajantha Ranasinghe,100,,,,
LKA0W2211977,Ajantha Ranasinghe,100,,,,
ATR981202329,Rohana Weerasinghe,100,,,,
LKA0W2211982,Ajantha Ranasinghe,100,,,,
ATR981202331,Rohana Weerasinghe,100,,,,
LKA0W2211985,Ajantha Ranasinghe,100,,,,
LKA0W2211995,Ajantha Ranasinghe,100,,,,
LKA0W2211998,Ajantha Ranasinghe,100,,,,
LKA0W2212001,Ajantha Ranasinghe,100,,,,
LKA0W2212005,Ajantha Ranasinghe,100,,,,
LKA0W2212006,Ajantha Ranasinghe,100,,,,
LKA0W2212009,Ajantha Ranasinghe,100,,,,
LKA0W2212011,Ajantha Ranasinghe,100,,,,
LKA0W2212013,Ajantha Ranasinghe,100,,,,
LKA0W2212015,Ajantha Ranasinghe,100,,,,
LKA0W2212018,Ajantha Ranasinghe,100,,,,
ATR981202343,Rohana Weerasinghe,100,,,,
LKA0W2212020,Ajantha Ranasinghe,100,,,,
LKA0W2212023,Ajantha Ranasinghe,100,,,,
ATR981202352,Rohana Weerasinghe,100,,,,
ATR981202353,Rohana Weerasinghe,100,,,,
LKA0W2213125,Aloy Gunawardana,100,,,,
LKA0W2213126,Aloy Gunawardana,100,,,,
LKA0W2213129,Aloy Gunawardana,100,,,,
LKA0W2213130,Aloy Gunawardana,100,,,,
LKA0W2213131,Aloy Gunawardana,100,,,,
LKA0W2213134,Aloy Gunawardana,100,,,,
LKA0W2213140,Aloy Gunawardana,100,,,,
LKA0W2213141,Aloy Gunawardana,100,,,,
LKA0W2213151,Aloy Gunawardana,100,,,,
LKA0W2213152,Aloy Gunawardana,100,,,,
LKA0W2213163,Aloy Gunawardana,100,,,,
LKA0W2213164,Aloy Gunawardana,100,,,,
LKA0W2213165,Aloy Gunawardana,100,,,,
LKA0W2213171,Aloy Gunawardana,100,,,,
LKA0W2213172,Aloy Gunawardana,100,,,,
LKA0W2213173,Aloy Gunawardana,100,,,,
LKA0W2213174,Aloy Gunawardana,100,,,,
LKA000013497,Austin Munasinghe,100,,,,
LKA0W2211380,Austin Munasinghe,100,,,,
ATR981210631,Rohana Weerasinghe,100,,,,
LKA0W2212025,Ajantha Ranasinghe,100,,,,
LKA0W2212026,Ajantha Ranasinghe,100,,,,
LKA0W2212030,Ajantha Ranasinghe,100,,,,
LKA0W2212033,Ajantha Ranasinghe,100,,,,
ATR981210692,Rohana Weerasinghe,100,,,,
ATR981210693,Rohana Weerasinghe,100,,,,
LKA0W2212034,Ajantha Ranasinghe,100,,,,
LKA0W2212035,Ajantha Ranasinghe,100,,,,
ATR981210696,Rohana Weerasinghe,100,,,,
LKA0W2212043,Ajantha Ranasinghe,100,,,,
LKA0W2212044,Ajantha Ranasinghe,100,,,,
ATR981210700,Rohana Weerasinghe,100,,,,
LKA0W2212057,Ajantha Ranasinghe,100,,,,
LKA0W2212058,Ajantha Ranasinghe,100,,,,
ATR981210703,Rohana Weerasinghe,100,,,,
ATR981210704,Rohana Weerasinghe,100,,,,
LKA0W2212061,Ajantha Ranasinghe,100,,,,
ATR981210706,Rohana Weerasinghe,100,,,,
LKA0W2212065,Ajantha Ranasinghe,100,,,,
ATR981210708,Rohana Weerasinghe,100,,,,
ATR981210709,Rohana Weerasinghe,100,,,,
ATR981210710,Rohana Weerasinghe,100,,,,
ATR981210711,Rohana Weerasinghe,100,,,,
LKA0W2212066,Ajantha Ranasinghe,100,,,,
ATR981210755,Rohana Weerasinghe,100,,,,
ATR981210756,Rohana Weerasinghe,100,,,,
ATR981210757,Rohana Weerasinghe,100,,,,
ATR981210758,Rohana Weerasinghe,100,,,,
ATR981210759,Rohana Weerasinghe,100,,,,
LKA0W2212071,Ajantha Ranasinghe,100,,,,
LKA0W2212397,Ajantha Ranasinghe,100,,,,
LKA0W2212884,Ajantha Ranasinghe,100,,,,
ATR981210763,Rohana Weerasinghe,100,,,,
LKA0W2213100,Aloy Gunawardana,100,,,,
LKA0W2213107,Aloy Gunawardana,100,,,,
LKA0W2213120,Aloy Gunawardana,100,,,,
LKA0W2213191,Aloy Gunawardana,100,,,,
LKA0W2211770,Ananda Hewaranhindage,100,,,,
ATR981210769,Rohana Weerasinghe,100,,,,
ATR981210770,Rohana Weerasinghe,100,,,,
ATR981210771,Rohana Weerasinghe,100,,,,
LKA0W2211782,Ananda Hewaranhindage,100,,,,
QMDA72178178,C. T. Fernando,100,,,,
LKA0W2211822,Camillus Perera,100,,,,
ATR981210775,Rohana Weerasinghe,100,,,,
ATR981210776,Rohana Weerasinghe,100,,,,
LKA0W2211824,Camillus Perera,100,,,,
ATR981210778,Rohana Weerasinghe,100,,,,
ATR981210779,Rohana Weerasinghe,100,,,,
ATR981210794,Rohana Weerasinghe,100,,,,
ATR981210795,Rohana Weerasinghe,100,,,,
ATR981210796,Rohana Weerasinghe,100,,,,
LKA0W2211828,Camillus Perera,100,,,,
LKA0W2211829,Camillus Perera,100,,,,
ATR981210799,Rohana Weerasinghe,100,,,,
LKA0W2211830,Camillus Perera,100,,,,
LKA0W2211834,Camillus Perera,100,,,,
LKA0W2300301,Charith Senadeera,100,,,,
ATR981210803,Rohana Weerasinghe,100,,,,
LKA0W2270245,Daya De Alwis,100,,,,
ATR981210805,Rohana Weerasinghe,100,,,,
LKA0U2301113,Gunadasa Kapuge,100,,,,
LKA0U2301114,Gunadasa Kapuge,100,,,,
LKA0U2301115,Gunadasa Kapuge,100,,,,
LKA0U2301116,Gunadasa Kapuge,100,,,,
ATR981210810,Rohana Weerasinghe,100,,,,
ATR981210811,Rohana Weerasinghe,100,,,,
LKA0U2301117,Gunadasa Kapuge,100,,,,
LKA000013488,Gunadasa Kapuge,100,,,,
LKA0U2212061,Hemasiri Halpita,100,,,,
LKA0U2212062,Hemasiri Halpita,100,,,,
ATR981210816,Rohana Weerasinghe,100,,,,
ATR981210817,Rohana Weerasinghe,100,,,,
ATR981210818,Rohana Weerasinghe,100,,,,
ATR981210839,Rohana Weerasinghe,100,,,,
ATR981210840,Rohana Weerasinghe,100,,,,
LKA0U2301379,Hemasiri Halpita,100,,,,
LKA0U2301380,Hemasiri Halpita,100,,,,
ATR981210843,Rohana Weerasinghe,100,,,,
LKA0U2301381,Hemasiri Halpita,100,,,,
LKA0U2301382,Hemasiri Halpita,100,,,,
ATR981210846,Rohana Weerasinghe,100,,,,
LKA0U2301681,Hemasiri Halpita,100,,,,
LKA0U2301682,Hemasiri Halpita,100,,,,
ATR981210849,Rohana Weerasinghe,100,,,,
ATR981210850,Rohana Weerasinghe,100,,,,
LKA0W2212390,Hemasiri Halpita,100,,,,
LKA0W2212445,Hemasiri Halpita,100,,,,
LKA0W2280352,Hemasiri Halpita,100,,,,
ATR981210854,Rohana Weerasinghe,100,,,,
ATR981210855,Rohana Weerasinghe,100,,,,
ATR981210856,Rohana Weerasinghe,100,,,,
ATR981210857,Rohana Weerasinghe,100,,,,
LKA0W2280366,Hemasiri Halpita,100,,,,
LKA0W2280379,Hemasiri Halpita,100,,,,
ATR981210860,Rohana Weerasinghe,100,,,,
LKA0W2280385,Hemasiri Halpita,100,,,,
LKA0W2280386,Hemasiri Halpita,100,,,,
ATR981210863,Rohana Weerasinghe,100,,,,
LKA0W2211520,Austin Munasinghe,100,,,,
LKA0W2280428,Hemasiri Halpita,100,,,,
LKA0W2102114,Jagath J Edirisinghe,100,,,,
ATR981210998,Rohana Weerasinghe,100,,,,
LKA0W2102115,Jagath J Edirisinghe,100,,,,
ATR981211000,Rohana Weerasinghe,100,,,,
LKA0W2102116,Jagath J Edirisinghe,100,,,,
ATR981211002,Rohana Weerasinghe,100,,,,
ATR981211003,Rohana Weerasinghe,100,,,,
LKA0W2102117,Jagath J Edirisinghe,100,,,,
LKA0W2102118,Jagath J Edirisinghe,100,,,,
LKA0W2102120,Jagath J Edirisinghe,100,,,,
LKA0W2102121,Jagath J Edirisinghe,100,,,,
LKA0W2102122,Jagath J Edirisinghe,100,,,,
ATR981211009,Rohana Weerasinghe,100,,,,
ATR981211010,Rohana Weerasinghe,100,,,,
ATR981211011,Rohana Weerasinghe,100,,,,
ATR981211012,Rohana Weerasinghe,100,,,,
ATR981211013,Rohana Weerasinghe,100,,,,
LKA0W2102125,Jagath J Edirisinghe,100,,,,
LKA0W2102126,Jagath J Edirisinghe,100,,,,
LKA0W2102127,Jagath J Edirisinghe,100,,,,
ATR981211017,Rohana Weerasinghe,100,,,,
ATR981211018,Rohana Weerasinghe,100,,,,
ATR981211019,Rohana Weerasinghe,100,,,,
ATR981211020,Rohana Weerasinghe,100,,,,
LKA0W2102128,Jagath J Edirisinghe,100,,,,
ATR981211026,Rohana Weerasinghe,100,,,,
LKA0W2102129,Jagath J Edirisinghe,100,,,,
ATR981211028,Rohana Weerasinghe,100,,,,
ATR981211029,Rohana Weerasinghe,100,,,,
LKA0W2102130,Jagath J Edirisinghe,100,,,,
LKA0W2102131,Jagath J Edirisinghe,100,,,,
ATR981211032,Rohana Weerasinghe,100,,,,
LKA0W2102132,Jagath J Edirisinghe,100,,,,
ATR981211034,Rohana Weerasinghe,100,,,,
ATR981211035,Rohana Weerasinghe,100,,,,
LKA0W2102133,Jagath J Edirisinghe,100,,,,
ATR981211037,Rohana Weerasinghe,100,,,,
ATR981211038,Rohana Weerasinghe,100,,,,
ATR981211039,Rohana Weerasinghe,100,,,,
LKA0W2102134,Jagath J Edirisinghe,100,,,,
ATR981211041,Rohana Weerasinghe,100,,,,
LKA0W2102135,Jagath J Edirisinghe,100,,,,
ATR981211043,Rohana Weerasinghe,100,,,,
ATR981211044,Rohana Weerasinghe,100,,,,
